code,paper
Republic of Congo,Congo
Curaçao,Curacao
Czech Republic,Czechia
Swaziland,Eswatini
"China, Hong Kong SAR",Hong Kong
Islamic Republic of Iran,Iran
Lao People's Democratic Republic,Laos
"China, Macao SAR",Macao
Federated States of Micronesia,Micronesia
Republic of Korea,South Korea
Syrian Arab Republic,Syria
"China, Taiwan Province of China",Taiwan
United Republic of Tanzania,Tanzania
United States,United States of America
United States Virgin Islands,US Virgin Islands
Democratic People's Republic of Korea,North Korea
Russian Federation,Russia
State of Palestine,Palestine
